Time;State;Val
0.000267018808594;1;0
0.000267028808594;-1;0
0.000554074777832;-1;0
0.000554084777832;1;0
0.000874032510986;1;0
0.000874042510986;-1;0
0.0011670489447;-1;0
0.0011670589447;1;0
0.00148915244507;1;0
0.00148916244507;-1;0
0.0017831225531;-1;0
0.0017831325531;1;0
0.00210308028625;1;0
0.00210309028625;-1;0
0.00239609671997;-1;0
0.00239610671997;1;0
0.00271820022034;1;0
0.00271821022034;-1;0
0.00301097823547;-1;0
0.00301098823547;1;0
0.00333212806152;1;0
0.00333213806152;-1;0
0.00362419082092;-1;0
0.00362420082092;1;0
0.00394605590271;1;0
0.00394606590271;-1;0
0.00423811866211;-1;0
0.00423812866211;1;0
0.00472046272659;1;0
0.00472136272659;1;-0.5
0.00472156272659;1;0.5
0.00472246272659;1;0
0.00962518645691;1;0
0.00962519645691;-1;0
0.0099151034491;-1;0
0.0099151134491;1;0
0.0102400679724;1;0
0.0102400779724;-1;0
0.0103924407234;-1;0
0.0103933407234;-1;-0.5
0.0103935407234;-1;0.5
0.0103944407234;-1;0
0.0105290312903;-1;0
0.0105290412903;1;0
0.0108530421393;1;0
0.0108530521393;-1;0
0.011004461216;-1;0
0.011005361216;-1;-0.5
0.011005561216;-1;0.5
0.011006461216;-1;0
0.011146058573;-1;0
0.011146068573;1;0
0.0114660163062;1;0
0.0114660263062;-1;0
0.0116183890572;-1;0
0.0116192890572;-1;-0.5
0.0116194890572;-1;0.5
0.0116203890572;-1;0
0.01176403953;-1;0
0.01176404953;1;0
0.0120830435889;1;0
0.0120830535889;-1;0
0.0122373236885;-1;0
0.0122382236885;-1;-0.5
0.0122384236885;-1;0.5
0.0122393236885;-1;0
0.0123760600226;-1;0
0.0123760700226;1;0
0.0126972098486;1;0
0.0126972198486;-1;0
0.0128533972969;-1;0
0.0128542972969;-1;-0.5
0.0128544972969;-1;0.5
0.0128553972969;-1;0
0.0129899878638;-1;0
0.0129899978638;1;0
0.0133111376898;1;0
0.0133111476898;-1;0
0.0134635104408;-1;0
0.0134644104408;-1;-0.5
0.0134646104408;-1;0.5
0.0134655104408;-1;0
0.0135991473334;-1;0
0.0135991573334;1;0
0.013925065531;1;0
0.013925075531;-1;0
0.0140714778175;-1;0
0.0140723778175;-1;-0.5
0.0140725778175;-1;0.5
0.0140734778175;-1;0
0.0142161746161;-1;0
0.0142161846161;1;0
0.0146923197975;1;0
0.0146932197975;1;-0.5
0.0146934197975;1;0.5
0.0146943197975;1;0
0.014885177149;1;0
0.014885187149;-1;0
0.0151851077216;-1;0
0.0151851177216;1;0
0.0153613223305;1;0
0.0153622223305;1;-0.5
0.0153624223305;1;0.5
0.0153633223305;1;0
0.0155050654547;1;0
0.0155050754547;-1;0
0.0158090491431;-1;0
0.0158090591431;1;0
0.0159793032875;1;0
0.0159802032875;1;-0.5
0.0159804032875;1;0.5
0.0159813032875;1;0
0.0161280532019;1;0
0.0161280632019;-1;0
0.0166022910347;-1;0
0.0166031910347;-1;-0.5
0.0166033910347;-1;0.5
0.0166042910347;-1;0
0.0167291064398;-1;0
